 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Splitting tensile strength (MPa)
315.0,189.0,651.7,981.2,0.0,45.0,90.0,1.8,3.75
270.0,189.0,778.0,979.4,0.0,45.0,135.0,1.8,3.63
270.0,189.0,650.7,979.4,0.0,45.0,135.0,1.8,2.98
225.0,189.0,776.8,977.9,0.0,45.0,180.0,2.02,3.24
225.0,189.0,649.7,977.9,0.0,45.0,180.0,2.02,2.7
180.0,189.0,775.6,976.3,0.0,45.0,225.0,2.02,2.74
180.0,189.0,648.6,976.3,0.0,45.0,225.0,2.02,2.25
135.0,189.0,773.2,973.3,0.0,45.0,270.0,2.02,2.4
135.0,189.0,646.6,973.3,0.0,45.0,270.0,2.02,2.0
598.0,350.1,934.0,915.0,0.0,0.0,180.0,0.0,3.25
262.87,197.1,1139.1,657.19,0.0,46.81,159.32,0.0,2.76
219.06,197.1,1139.1,657.19,0.0,46.58,199.15,0.0,3.43
175.25,197.1,1139.1,657.19,0.0,46.14,238.99,0.0,3.12
486.0,165.24,817.56,828.36,0.0,54.0,0.0,4.86,4.8
486.0,165.24,817.56,828.36,0.0,0.0,54.0,4.32,4.47
